group,Desc Score 0,Desc Score < 0.2 ,0.2 < Desc Score < 0.5 ,0.5 < Desc Score < 0.8,Desc Score > 0.8
AREMA,9734,6,210,3534,39502
CHAPTERAUTO, 4105,4800,776,23379,25173
CRYO, 26058,1,216,3902,29939
DALET, 52835,3,6,477,7454
INGESTVOD, 2635,0,0,235,5547
LIVECENTER, 3848, 0,9,1779,4803
NETIA, 308,4,41,6635,16336
WHATSON, 6405,1,435,10037,19075
YOUTUBE, 5286,1,130,7159,44108
OTHER,556,2,53,1019,4327
