group, Score 0, Score < 2 ,2 <  Score < 5 ,5 <  Score < 8, Score > 8
AREMA, 55,9690,705,28692,13846
CHAPTERAUTO, 1,3138,10541,30749,13804
CRYO, 47,25923,1786,22697,9663
DALET,126,52696,425,5065,2463
INGESTVOD,0,2754,1077,3193,1393
LIVECENTER,146,3723,1585,4849,136
NETIA, 0,312,1382,17445,4185
WHATSON, 133,6500,1457,21762,6101
YOUTUBE,129,4822,5373,22708,23652
SmallProv,10,659,644,3222,1422
