group,Desc Score 0,Desc Score < 0.2 ,0.2 < Desc Score < 0.5 ,0.5 < Desc Score < 0.8,Desc Score > 0.8
AREMA,9734,642,1261,36248,5101
CHAPTERAUTO,4105,9021,1005,39521,4581
CRYO,26058,1532,1177,27848,3501
DALET,52835,338,261,6479,862
INGESTVOD,2635,1149,140,4115,378
LIVECENTER,3848,32,127,5699,733
NETIA,308,973,581,19010,2452
WHATSON,6405,513,667,26079,2289
YOUTUBE,5286,5227,1767,38959,5445
SmallProv,556,734,184,332,474
